"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"228","Tyler Johnson","T.B","C","80","1060.0333333333","23","11","5","6","34","53.13"
"407","Ryan Nugent-Hopkins","EDM","C","82","1163.5","15","19","8","11","34","70.83"
"442","Yanni Gourde","T.B","C","80","980.81666666667","14","20","13","7","34","65.38"
"494","Andreas Athanasiou","DET","C","76","1036.25","21","13","10","3","34","85.00"
"500","Josh Anderson","CBJ","R","82","1136.5166666667","20","14","7","7","34","54.84"
"633","Kasperi Kapanen","TOR","R","78","1075.3166666667","14","20","9","11","34","59.65"
"664","Viktor Arvidsson","NSH","L, R","58","808.65","25","9","4","5","34","70.83"
"725","Thomas Chabot","OTT","D","70","1376.8833333333","10","24","9","15","34","43.59"
"25","Duncan Keith","CHI","D","82","1530.5333333333","5","28","10","18","33","39.76"
"84","T.J. Oshie","WSH","R","69","937.7","15","18","9","9","33","67.35"
"198","John Carlson","WSH","D","80","1358.2333333333","8","25","14","11","33","35.87"
"200","Roman Josi","NSH","D","82","1495.7666666667","9","24","11","13","33","50.00"
"270","Cody Eakin","VGK","C","78","971.9","17","16","12","4","33","68.75"
"325","Zach Hyman","TOR","C, L","71","1007.65","14","19","10","9","33","55.00"
"574","Jonathan Drouin","MTL","C, L","81","1068.0833333333","11","22","18","4","33","66.00"
"580","Bo Horvat","VAN","C","82","1285.0333333333","15","18","9","9","33","66.00"
"673","Kevin Labanc","S.J","R","82","932.43333333333","13","20","10","10","33","71.74"
"892","Dominik Kahun","CHI","C","82","1040.95","11","22","16","6","33","64.71"
"28","Eric Staal","MIN","C","81","1146.0166666667","14","18","11","7","32","66.67"
"38","Ryan Getzlaf","ANA","C","67","1009.25","11","21","11","10","32","78.05"
"91","Kris Letang","PIT","D","65","1252.2166666667","10","22","13","9","32","43.24"
"254","Reilly Smith","VGK","R","74","1002.9333333333","13","19","12","7","32","66.67"
"338","Joonas Donskoi","S.J","R","80","1008.9166666667","13","19","10","9","32","61.54"
"397","Brandon Saad","CHI","L","80","1099.9166666667","14","18","12","6","32","66.67"
"466","Filip Forsberg","NSH","L","64","877.41666666667","15","17","12","5","32","65.31"
"480","Chris Tierney","OTT","C","81","1067.7333333333","6","26","13","13","32","71.11"
"541","Oliver Bjorkstrand","CBJ","R","77","844.43333333333","19","13","12","1","32","78.05"
"690","Colin White","OTT","C","71","948.45","8","24","12","12","32","78.05"
"712","Brock Boeser","VAN","R","69","1001.0166666667","16","16","9","7","32","68.09"
"880","Brady Tkachuk","OTT","L","71","948.2","17","15","11","4","32","68.09"
"3","Joe Thornton","S.J","C","73","953.53333333333","10","21","14","7","31","64.58"
"34","Dustin Brown","L.A","R","72","1090.7666666667","10","21","13","8","31","72.09"
"65","Carl Soderberg","COL","C","82","1024.35","15","16","9","7","31","68.89"
"278","Anders Lee","NYI","L","82","1114.8166666667","15","16","10","6","31","57.41"
"394","Boone Jenner","CBJ","C","77","1048.9166666667","12","19","16","3","31","64.58"
"567","Artturi Lehkonen","MTL","L","82","999.65","11","20","13","7","31","63.27"
"62","Travis Zajac","N.J","C","80","1057.15","12","18","5","13","30","73.17"
"77","Paul Stastny","VGK","C","50","714.38333333333","10","20","14","6","30","78.95"
"108","Nick Foligno","CBJ","L","73","994.95","15","15","5","10","30","58.82"
"220","Jared Spurgeon","MIN","D","82","1494.9","10","20","9","11","30","48.39"
"256","Tyson Barrie","COL","D","78","1314.5333333333","11","19","11","8","30","50.00"
"265","Craig Smith","NSH","R","76","923.05","17","13","9","4","30","69.77"
"128","Artem Anisimov","CHI","C","78","1035.5833333333","13","16","9","7","29","72.50"
"161","David Perron","STL","L","57","795.71666666667","14","15","9","6","29","80.56"
"170","Max Pacioretty","VGK","L","66","899.63333333333","16","13","8","5","29","80.56"
"172","Jake Muzzin","L.A, TOR","D","80","1421.0833333333","8","21","9","12","29","45.31"
"244","Nazem Kadri","TOR","C","73","944.96666666667","11","18","11","7","29","78.38"
"321","Jaden Schwartz","STL","L","69","984.95","7","22","15","7","29","74.36"
"460","Tom Wilson","WSH","R","63","854.45","15","14","7","7","29","60.42"
"504","Vinnie Hinostroza","ARI","C","72","950.91666666667","11","18","10","8","29","90.63"
"884","Jesperi Kotkaniemi","MTL","C","79","910.96666666667","10","19","12","7","29","78.38"
"17","Jason Pominville","BUF","R","73","837.1","15","13","7","6","28","68.29"
"118","Jeff Petry","MTL","D","82","1425.9166666667","6","22","12","10","28","38.36"
"227","Antoine Roussel","VAN","L","65","817.83333333333","8","20","16","4","28","80.00"
"230","Mike Hoffman","FLA","L","82","1090.25","15","13","7","6","28","73.68"
"233","Kyle Palmieri","N.J","R","74","1011.3666666667","16","12","7","5","28","59.57"
"261","Richard Panik","ARI","R","75","973.3","11","17","11","6","28","63.64"
"333","Mikael Granlund","MIN, NSH","C, R","79","1119.6333333333","10","18","13","5","28","71.79"
"479","Jimmy Vesey","NYR","L","81","1017.05","13","15","12","3","28","70.00"
"842","Nico Hischier","N.J","C","69","936.78333333333","11","17","7","10","28","62.22"
"105","Bryan Little","WPG","C","82","1025.0166666667","8","19","11","8","27","67.50"
"127","Michael Frolik","CGY","R","65","812.5","12","15","9","6","27","61.36"
"136","Alex Killorn","T.B","L","82","916.18333333333","12","15","11","4","27","60.00"
"148","James van Riemsdyk","PHI","L","66","866.85","14","13","4","9","27","75.00"
"175","Lars Eller","WSH","C","81","983.38333333333","10","17","11","6","27","58.70"
"189","Mikkel Boedker","OTT","L","71","839.1","5","22","12","10","27","69.23"
"246","Ryan Ellis","NSH","D","82","1485.95","4","23","9","14","27","40.30"
"262","Mattias Ekholm","NSH","D","80","1504.2333333333","4","23","11","12","27","41.54"
"337","Bryan Rust","PIT","R","72","955.5","15","12","7","5","27","60.00"
"340","Marcus Sorensen","S.J","L","80","920.76666666667","15","12","6","6","27","60.00"
"471","Oskar Sundqvist","STL","C","74","842.33333333333","12","15","9","6","27","81.82"
"578","Darnell Nurse","EDM","D","82","1556.3833333333","8","19","9","10","27","42.86"
"620","Nikolaj Ehlers","WPG","L","62","862.05","16","11","5","6","27","72.97"
"622","Kevin Fiala","MIN, NSH","L","83","1073.2666666667","10","17","14","3","27","72.97"
"669","Oskar Lindblom","PHI","L","81","938.48333333333","13","14","11","3","27","71.05"
"19","Valtteri Filppula","NYI","C","72","807.86666666667","14","12","8","4","26","76.47"
"142","Nick Bonino","NSH","C","81","972.81666666667","13","13","8","5","26","59.09"
"231","Tyler Bozak","STL","C","72","857.98333333333","9","17","6","11","26","74.29"
"298","Jason Zucker","MIN","L","81","1137.6","12","14","9","5","26","66.67"
"307","Charlie Coyle","BOS, MIN","C","81","1076.0666666667","10","16","8","8","26","60.47"
"415","Dougie Hamilton","CAR","D","82","1361.1833333333","14","12","6","6","26","43.33"
"591","Anthony Mantha","DET","R","67","973.46666666667","13","13","8","5","26","68.42"
"600","Conor Sheary","BUF","L","78","951.23333333333","8","18","8","10","26","76.47"
"628","Travis Sanheim","PHI","D","82","1409.1","6","20","12","8","26","38.81"
"665","Danton Heinen","BOS","C","77","948.83333333333","10","16","12","4","26","70.27"
"694","Vince Dunn","STL","D","78","1144.6166666667","8","18","10","8","26","49.06"
"735","Jake DeBrusk","BOS","L","68","861.11666666667","17","9","6","3","26","68.42"
"740","Anthony Cirelli","T.B","C","82","920.66666666667","11","15","9","6","26","57.78"
"21","Frans Nielsen","DET","C","72","880.78333333333","10","15","4","11","25","64.10"
"46","Shea Weber","MTL","D","58","997.13333333333","9","16","7","9","25","58.14"
"205","Derek Stepan","ARI","C","72","975.05","9","16","12","4","25","71.43"
"237","Jakob Silfverberg","ANA","R","73","911.86666666667","16","9","5","4","25","86.21"
"267","Casey Cizikas","NYI","C","73","825.88333333333","15","10","7","3","25","78.13"
"351","Micheal Ferland","CAR","L","71","831.81666666667","10","15","13","2","25","59.52"
"382","Blake Coleman","N.J","C","78","1021.0333333333","13","12","7","5","25","60.98"
"453","Scott Laughton","PHI","C","82","991.18333333333","9","16","9","7","25","62.50"
"483","Damon Severson","N.J","D","82","1412.8833333333","8","17","12","5","25","42.37"
"539","Anthony Duclair","CBJ, OTT","L","74","803.55","12","13","5","8","25","67.57"
"684","Frank Vatrano","FLA","C","81","1023.3833333333","18","7","2","5","25","73.53"
"719","Zach Werenski","CBJ","D","82","1492.7","8","17","10","7","25","36.76"
"721","Anthony Beauvillier","NYI","C, L","81","1011.7333333333","17","8","4","4","25","59.52"
"755","Dominik Simon","PIT","C","71","871.96666666667","7","18","12","6","25","65.79"
"808","Mikhail Sergachev","T.B","D","75","1174.7333333333","5","20","12","8","25","40.98"
"835","Nolan Patrick","PHI","C","72","921.4","10","15","5","10","25","73.53"
"859","Alex Iafallo","L.A","L","82","1176.9","11","14","8","6","25","58.14"
"30","Ryan Suter","MIN","D","82","1642.7166666667","3","21","8","13","24","35.82"
"79","Bobby Ryan","OTT","R","78","997.13333333333","7","17","11","6","24","61.54"
"101","Patric Hornqvist","PIT","R","69","851.15","11","13","6","7","24","64.86"
"112","Leo Komarov","NYI","C, R","82","966.15","4","20","11","9","24","58.54"
"196","Jordan Eberle","NYI","C, R","78","1020.6666666667","12","12","8","4","24","58.54"
"209","Adam Henrique","ANA","C","82","1008.7833333333","10","14","8","6","24","64.86"
"257","Dmitry Orlov","WSH","D","82","1518.8166666667","3","21","10","11","24","36.36"
"363","Ondrej Palat","T.B","L","64","789.35","5","19","6","13","24","64.86"
"420","J.T. Miller","T.B","C","75","877.8","9","15","4","11","24","54.55"
"443","Ryan Murray","CBJ","D","56","982.18333333333","0","24","10","14","24","41.38"
"548","Andre Burakovsky","WSH","L","76","816.8","11","13","8","5","24","68.57"
"552","Ryan Hartman","NSH, PHI","R","83","1007.3833333333","11","13","5","8","24","53.33"
"575","Seth Jones","CBJ","D","75","1493.4","5","19","8","11","24","34.78"
"649","Brandon Montour","ANA, BUF","D","82","1473.2333333333","6","18","7","11","24","45.28"
"686","Noah Hanifin","CGY","D","80","1367.9166666667","3","21","7","14","24","38.71"
"726","Mathieu Joseph","T.B","R","70","715.6","13","11","8","3","24","66.67"
"747","Derek Ryan","CGY","C","81","792.75","10","14","8","6","24","70.59"
"773","Brandon Tanev","WPG","L","80","940.31666666667","11","13","9","4","24","80.00"
"785","Patrik Laine","WPG","R","82","1066.5","13","11","10","1","24","55.81"
"885","Andrei Svechnikov","CAR","R","82","1004.9666666667","13","11","3","8","24","64.86"
"132","Mathieu Perreault","WPG","C, L","82","878.18333333333","11","12","3","9","23","67.65"
"192","Erik Karlsson","S.J","D","53","977.16666666667","1","22","10","12","23","41.82"
"248","Zack Kassian","EDM","R","79","1048.7333333333","12","11","7","4","23","48.94"
"293","Mats Zuccarello","DAL, NYR","C, R","48","687.43333333333","9","14","12","2","23","71.88"
"464","Jacob Trouba","WPG","D","82","1434.2166666667","3","20","8","12","23","33.82"
"634","Jared McCann","FLA, PIT","C","78","935.18333333333","9","14","10","4","23","63.89"
"643","Ivan Barbashev","STL","C","80","776.88333333333","11","12","8","4","23","88.46"
"697","Jordan Greenway","MIN","L","81","1028.2333333333","11","12","7","5","23","74.19"
"786","Clayton Keller","ARI","C","82","1111.6666666667","13","10","7","3","23","60.53"
"807","Jesper Bratt","N.J","L","51","618.26666666667","6","17","12","5","23","82.14"
"846","Robert Thomas","STL","C","70","787.06666666667","5","18","11","7","23","76.67"
"4","Patrick Marleau","TOR","C","82","1142.7833333333","11","11","8","3","22","44.00"
"29","Thomas Vanek","DET","L","64","706.16666666667","10","12","7","5","22","78.57"
"44","Loui Eriksson","VAN","L","81","922.15","8","14","5","9","22","78.57"
"149","Paul Byron","MTL","L","56","649.83333333333","11","11","7","4","22","66.67"
"180","Zack Smith","OTT","L","70","981.25","7","15","9","6","22","70.97"
"212","TJ Brodie","CGY","D","79","1393.2166666667","4","18","11","7","22","32.35"
"268","David Savard","CBJ","D","82","1430.75","7","15","7","8","22","31.88"
"299","Tyler Toffoli","L.A","R","82","1073.65","6","16","9","7","22","62.86"
"430","Rickard Rakell","ANA","C, L","69","1012.4833333333","9","13","10","3","22","61.11"
"454","Mark Jankowski","CGY","C","79","809.06666666667","8","14","8","6","22","81.48"
"467","Radek Faksa","DAL","C","81","1085.85","10","12","9","3","22","66.67"
"485","Colton Sissons","NSH","C","75","917.66666666667","10","12","7","5","22","57.89"
"507","Connor Brown","TOR","R","82","935.93333333333","6","16","11","5","22","64.71"
"509","Alexander Kerfoot","COL","C","78","955.01666666667","9","13","9","4","22","68.75"
"536","Pavel Buchnevich","NYR","R","64","804.63333333333","11","11","7","4","22","68.75"
"545","Andrew Copp","WPG","C","69","729.31666666667","9","13","7","6","22","62.86"
"586","Ryan Pulock","NYI","D","82","1435.8166666667","3","19","8","11","22","35.48"
"612","Aaron Ekblad","FLA","D","82","1495.5","7","15","6","9","22","27.85"
"822","Michal Kempny","WSH","D","71","1201.7833333333","6","16","6","10","22","31.43"
"850","Miro Heiskanen","DAL","D","82","1547.2666666667","8","14","6","8","22","37.93"
"886","Rasmus Dahlin","BUF","D","82","1406.3666666667","4","18","6","12","22","37.93"
"12","Ilya Kovalchuk","L.A","L","64","820.46666666667","9","12","8","4","21","80.77"
"31","Braydon Coburn","T.B","D","74","1097.2","3","18","7","11","21","42.00"
"88","Marc-Edouard Vlasic","S.J","D","72","1211.0833333333","3","18","11","7","21","39.62"
"120","Jordan Staal","CAR","C","50","678.93333333333","9","12","5","7","21","80.77"
"215","Matt Calvert","COL","L","82","943.65","9","12","8","4","21","60.00"
"239","Victor Hedman","T.B","D","70","1128.15","8","13","7","6","21","35.59"
"283","Nic Dowd","WSH","C","64","548.6","8","13","9","4","21","80.77"
"287","Brenden Dillon","S.J","D","82","1328.0333333333","0","21","11","10","21","31.82"
"311","Justin Faulk","CAR","D","82","1379.8166666667","4","17","12","5","21","36.21"
"327","Taylor Hall","N.J","L","33","496.65","7","14","11","3","21","75.00"
"380","Nick Cousins","ARI","C","81","995.05","6","15","7","8","21","61.76"
"459","Cody Ceci","OTT","D","74","1389.9166666667","6","15","11","4","21","38.18"
"476","Devin Shore","ANA, DAL","C","76","866.01666666667","6","15","10","5","21","70.00"
"481","Jordan Martinook","CAR","L","82","1024.9333333333","12","9","7","2","21","55.26"
"488","Brock McGinn","CAR","L","82","932.48333333333","7","14","6","8","21","61.76"
"538","Mattias Janmark","DAL","C","81","1042.85","6","15","11","4","21","80.77"
"549","Shea Theodore","VGK","D","79","1330.7833333333","6","15","8","7","21","44.68"
"579","Rasmus Ristolainen","BUF","D","78","1423.45","3","18","7","11","21","41.18"
"615","Sam Bennett","CGY","C","71","804.28333333333","9","12","10","2","21","61.76"
"619","William Nylander","TOR","R","54","708.81666666667","6","15","9","6","21","63.64"
"621","Nick Ritchie","ANA","L","60","744.65","6","15","10","5","21","61.76"
"639","Adrian Kempe","L.A","C","81","980.71666666667","10","11","5","6","21","72.41"
"717","Austin Wagner","L.A","L","62","546.63333333333","12","9","6","3","21","91.30"
"736","Ivan Provorov","PHI","D","82","1599.5166666667","7","14","3","11","21","31.34"
"742","Evan Rodrigues","BUF","L","74","903.95","7","14","11","3","21","58.33"
"780","Charlie McAvoy","BOS","D","54","974.7","5","16","10","6","21","39.62"
"791","Brett Howden","NYR","C","66","774.38333333333","6","15","11","4","21","67.74"
"796","Tyson Jost","COL","C","70","758.25","7","14","6","8","21","70.00"
"185","Alex Pietrangelo","STL","D","71","1278.9833333333","6","14","5","9","20","32.79"
"188","Colin Wilson","COL","C","65","732.35","7","13","2","11","20","74.07"
"194","Jake Gardiner","TOR","D","62","1135.95","3","17","10","7","20","33.90"
"226","Jordie Benn","MTL","D","81","1213.3333333333","3","17","6","11","20","33.33"
"236","Alex Chiasson","EDM","R","73","963.66666666667","12","8","7","1","20","62.50"
"441","Luke Glendening","DET","C","78","996.6","9","11","7","4","20","48.78"
"478","Adam Pelech","NYI","D","78","1265.5666666667","5","15","7","8","20","39.22"
"543","Miles Wood","N.J","L","63","767.63333333333","8","12","9","3","20","71.43"
"556","J.T. Compher","COL","L","66","769.88333333333","9","11","7","4","20","74.07"
"727","Lawson Crouse","ARI","L","81","917.53333333333","8","12","9","3","20","66.67"
"820","Drake Caggiula","CHI, EDM","C, L","55","715.28333333333","10","10","5","5","20","57.14"
"49","Brad Richardson","ARI","C","66","823.86666666667","14","5","4","1","19","65.52"
"73","Troy Brouwer","FLA","R","75","793","10","9","8","1","19","67.86"
"86","Matt Niskanen","WSH","D","80","1429.1333333333","6","13","6","7","19","35.85"
"109","Erik Johnson","COL","D","80","1398.8333333333","5","14","5","9","19","35.19"
"174","Carl Hagelin","L.A, PIT, WSH","L","58","722.98333333333","5","14","6","8","19","55.88"
"191","Tyler Myers","WPG","D","80","1304.4","7","12","6","6","19","35.85"
"235","Kyle Clifford","L.A","L","72","734.45","9","10","6","4","19","70.37"
"260","Brian Dumoulin","PIT","D","76","1334.6166666667","3","16","3","13","19","26.39"
"295","Oscar Lindberg","OTT, VGK","C, L","55","644.33333333333","9","10","8","2","19","61.29"
"315","Nick Bjugstad","FLA, PIT","C","64","834.85","11","8","0","8","19","65.52"
"350","John Klingberg","DAL","D","64","1257.15","4","15","5","10","19","41.30"
"359","Brian Gibbons","ANA, OTT","C, L","64","642.91666666667","8","11","8","3","19","67.86"
"401","Matt Nieto","COL","L","64","696.18333333333","3","16","10","6","19","70.37"
"411","Ryan Strome","EDM, NYR","C","81","1014.1","9","10","7","3","19","57.58"
"451","Brady Skjei","NYR","D","78","1372.9","6","13","8","5","19","35.19"
"452","Tanner Pearson","L.A, PIT, VAN","L","80","984.63333333333","15","4","3","1","19","67.86"
"470","Brendan Leipsic","L.A, VAN","L","62","727.7","6","13","10","3","19","76.00"
"472","Esa Lindell","DAL","D","82","1553.6333333333","4","15","6","9","19","37.25"
"493","Jaccob Slavin","CAR","D","82","1436.35","2","17","5","12","19","35.85"
"617","Jake Virtanen","VAN","R","70","897.86666666667","11","8","6","2","19","67.86"
"817","Troy Stecher","VAN","D","78","1320.6","1","18","9","9","19","38.00"
"24","Alexander Steen","STL","L","65","786.08333333333","7","11","5","6","18","60.00"
"63","Mike Green","DET","D","43","792.53333333333","4","14","5","9","18","54.55"
"64","Blake Comeau","DAL","L","77","1017.35","7","11","5","6","18","60.00"
"93","Keith Yandle","FLA","D","82","1411.9333333333","2","16","8","8","18","27.69"
"176","Wayne Simmonds","NSH, PHI","R","79","987.51666666667","10","8","7","1","18","58.06"
"243","Oliver Ekman-Larsson","ARI","D","81","1428.6333333333","5","13","8","5","18","38.30"
"276","Ben Chiarot","WPG","D","78","1281.4333333333","4","14","9","5","18","40.91"
"281","Nick Jensen","DET, WSH","D","80","1340.9333333333","2","16","9","7","18","32.14"
"294","Calle Jarnkrok","NSH","C","79","960.51666666667","7","11","3","8","18","45.00"
"343","Kenny Agostino","MTL, N.J","L","63","717.3","6","12","7","5","18","66.67"
"345","Jesper Fast","NYR","R","66","882.66666666667","8","10","3","7","18","60.00"
"369","Travis Boyd","WSH","C","53","473.83333333333","5","13","8","5","18","69.23"
"379","Adam Lowry","WPG","C","78","939.95","10","8","4","4","18","60.00"
"444","Alex Galchenyuk","ARI","C","72","856.56666666667","9","9","4","5","18","72.00"
"474","Shayne Gostisbehere","PHI","D","78","1182.45","4","14","5","9","18","42.86"
"519","Carter Rowney","ANA","C, R","62","649","5","13","8","5","18","94.74"
"551","Jason Dickinson","DAL","C","67","763.05","3","15","8","7","18","69.23"
"560","Robert Hagg","PHI","D","82","1215.6833333333","4","14","9","5","18","35.29"
"571","Brett Pesce","CAR","D","73","1240.3666666667","6","12","7","5","18","31.03"
"630","Tony DeAngelo","NYR","D","61","988.25","4","14","6","8","18","36.00"
