"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"406","Nikita Kucherov","T.B","R","82","1229.9833333333","24","45","26","19","69","84.15"
"165","Patrick Kane","CHI","R","81","1414.8666666667","26","40","25","15","66","78.57"
"692","Connor McDavid","EDM","C","78","1362.65","24","40","28","12","64","83.12"
"78","Sidney Crosby","PIT","C","79","1253.2666666667","19","42","31","11","61","74.39"
"238","John Tavares","TOR","C","82","1254.8333333333","33","27","16","11","60","72.29"
"371","Johnny Gaudreau","CGY","L","82","1265.65","23","37","24","13","60","82.19"
"614","Leon Draisaitl","EDM","C","82","1377.95","28","31","17","14","59","79.73"
"743","Artemi Panarin","CBJ","L","79","1264.5666666667","19","40","29","11","59","75.64"
"729","Mitchell Marner","TOR","C, R","82","1212.5666666667","16","42","36","6","58","73.42"
"537","Jake Guentzel","PIT","C, L","82","1280.65","31","26","13","13","57","73.08"
"583","Max Domi","MTL","C, L","82","1134.05","22","31","20","11","53","79.10"
"655","Brayden Point","T.B","C","79","1134.6333333333","19","33","25","8","52","72.22"
"119","Claude Giroux","PHI","C","82","1230.8","16","34","23","11","50","73.53"
"56","Alex Ovechkin","WSH","L","81","1229.8333333333","28","21","14","7","49","65.33"
"577","Sean Monahan","CGY","C","78","1139.75","20","29","21","8","49","75.38"
"107","Brad Marchand","BOS","L","79","1083.9","18","30","16","14","48","78.69"
"184","Steven Stamkos","T.B","C","82","1076.8","22","26","19","7","48","81.36"
"255","Tomas Tatar","MTL","L","80","1081.2833333333","20","28","18","10","48","80.00"
"573","Aleksander Barkov","FLA","C","82","1251.6833333333","18","30","21","9","48","68.57"
"68","David Krejci","BOS","C","81","1140.45","12","35","23","12","47","82.46"
"409","Jonathan Huberdeau","FLA","L","82","1152.8666666667","16","31","25","6","47","81.03"
"572","Nathan MacKinnon","COL","C","82","1363.6666666667","23","24","15","9","47","70.15"
"693","Jack Eichel","BUF","C","77","1161.7333333333","16","31","20","11","47","75.81"
"698","Timo Meier","S.J","R","78","1091.0333333333","22","25","16","9","47","75.81"
"777","Auston Matthews","TOR","C","68","1020.1333333333","23","24","15","9","47","85.45"
"240","Matt Duchene","CBJ, OTT","C","73","1095.3","22","23","15","8","45","72.58"
"330","Tyler Seguin","DAL","C","82","1280.9166666667","19","26","20","6","45","75.00"
"352","Mark Stone","OTT, VGK","R","77","1176.5833333333","22","23","14","9","45","64.29"
"461","Tomas Hertl","S.J","C","77","1035.5666666667","17","28","16","12","45","71.43"
"167","Evgenii Dadonov","FLA","R","82","1142.5833333333","16","28","13","15","44","69.84"
"219","Cam Atkinson","CBJ","R","80","1157.0666666667","25","19","9","10","44","64.71"
"328","Brett Connolly","WSH","R","81","992.63333333333","21","23","13","10","44","77.19"
"784","Alex DeBrincat","CHI","L, R","82","1117.8333333333","24","20","7","13","44","66.67"
"804","Pierre-Luc Dubois","CBJ","C","82","1187.9666666667","20","24","14","10","44","57.89"
"124","Phil Kessel","PIT","R","82","1131.4833333333","15","28","18","10","43","82.69"
"131","Jonathan Toews","CHI","C","82","1224.7","19","24","16","8","43","69.35"
"234","Ryan O'Reilly","STL","C","82","1190.7333333333","18","25","15","10","43","70.49"
"306","Evgeny Kuznetsov","WSH","C","76","1046.4166666667","8","35","20","15","43","71.67"
"413","Mark Scheifele","WPG","C","82","1295.0166666667","20","23","12","11","43","72.88"
"414","Sean Couturier","PHI","C","80","1240.2","21","22","14","8","43","65.15"
"445","Morgan Rielly","TOR","D","82","1502.3333333333","15","28","13","15","43","43.43"
"613","Sam Reinhart","BUF","C","82","1198.7833333333","17","26","17","9","43","72.88"
"39","Brent Burns","S.J","D","82","1517.25","6","36","21","15","42","50.60"
"324","Jeff Skinner","BUF","C, L","82","1210.05","27","15","11","4","42","60.00"
"344","Brendan Gallagher","MTL","R","82","1083.1166666667","28","14","6","8","42","68.85"
"629","Alex Tuch","VGK","R","74","1014.35","14","28","11","17","42","75.00"
"702","Mikko Rantanen","COL","R","74","1160.8166666667","11","31","17","14","42","72.41"
"126","Nicklas Backstrom","WSH","C","80","1118.1166666667","13","28","17","11","41","74.55"
"151","Logan Couture","S.J","C","81","1064.3166666667","17","24","14","10","41","69.49"
"213","Gustav Nyquist","DET, S.J","C, R","81","1169.85","16","25","13","12","41","68.33"
"329","Ryan Johansen","NSH","C","80","1113.3166666667","10","31","19","12","41","67.21"
"626","Dylan Larkin","DET","C","76","1269","16","25","17","8","41","80.39"
"774","Matthew Tkachuk","CGY","L","80","1083","17","24","15","9","41","73.21"
"55","Mark Giordano","CGY","D","78","1331.0166666667","10","30","14","16","40","50.63"
"57","Evgeni Malkin","PIT","C","68","974.23333333333","11","29","20","9","40","90.91"
"59","Blake Wheeler","WPG","R","82","1207.5833333333","13","27","18","9","40","71.43"
"462","Teuvo Teravainen","CAR","L","82","1094.7833333333","11","29","17","12","40","74.07"
"624","Jakub Vrana","WSH","L","82","1031.3333333333","22","18","11","7","40","67.80"
"705","Sebastian Aho","CAR","C, R","82","1209.2333333333","14","26","16","10","40","63.49"
"61","Alexander Radulov","DAL","R","70","1098.7833333333","17","22","13","9","39","65.00"
"241","Evander Kane","S.J","L","75","1091.0166666667","21","18","10","8","39","63.93"
"362","Ryan Dzingel","CBJ, OTT","C, L","78","1120.3","20","19","10","9","39","66.10"
"377","Andrew Shaw","MTL","R","63","805.93333333333","16","23","14","9","39","70.91"
"412","Mika Zibanejad","NYR","C","82","1183.2833333333","14","25","17","8","39","78.00"
"428","Phillip Danault","MTL","C","81","1137.2166666667","10","29","17","12","39","61.90"
"635","David Pastrnak","BOS","R","66","947.76666666667","20","19","11","8","39","73.58"
"713","Mathew Barzal","NYI","C","82","1145.7833333333","14","25","14","11","39","82.98"
"845","Elias Pettersson","VAN","C","71","971.58333333333","14","25","19","6","39","82.98"
"190","Josh Bailey","NYI","R","82","1111.3","12","26","18","8","38","74.51"
"576","Elias Lindholm","CGY","C","81","1102.0333333333","13","25","10","15","38","61.29"
"708","Travis Konecny","PHI","C, R","82","1079.0333333333","18","20","12","8","38","73.08"
"168","Mikael Backlund","CGY","C","77","1086.2166666667","16","21","15","6","37","64.91"
"251","Chris Kreider","NYR","L","79","1083.4","19","18","6","12","37","62.71"
"319","Vladimir Tarasenko","STL","R","76","1084.2833333333","19","18","8","10","37","74.00"
"404","William Karlsson","VGK","C","82","1153.0666666667","15","22","13","9","37","67.27"
"432","Jonathan Marchessault","VGK","C","82","1198.9833333333","15","22","11","11","37","62.71"
"569","Tyler Bertuzzi","DET","L","73","1036.1166666667","15","22","8","14","37","72.55"
"709","Dylan Strome","ARI, CHI","C","78","982.61666666667","12","25","14","11","37","64.91"
"45","Patrice Bergeron","BOS","C","65","803.53333333333","14","22","13","9","36","72.00"
"52","Joe Pavelski","S.J","C","75","1073.8333333333","21","15","10","5","36","76.60"
"139","Jamie Benn","DAL","L","78","1107.15","18","18","10","8","36","69.23"
"171","Jakub Voracek","PHI","R","78","1111.45","12","24","14","10","36","75.00"
"312","Brock Nelson","NYI","C","82","1131.4833333333","19","17","9","8","36","78.26"
"317","Kevin Hayes","NYR, WPG","C, R","71","949.68333333333","10","26","16","10","36","80.00"
"408","Gabriel Landeskog","COL","L","73","1147.9166666667","17","19","14","5","36","62.07"
"524","Andreas Johnsson","TOR","L","73","866.01666666667","16","20","12","8","36","69.23"
"242","Brayden Schenn","STL","C","72","1045.0166666667","10","25","15","10","35","66.04"
"334","Nino Niederreiter","CAR, MIN","R","82","1095.4","17","18","8","10","35","67.31"
"499","Erik Gustafsson","CHI","D","79","1456.0666666667","9","26","12","14","35","47.95"
"688","Kyle Connor","WPG","L","82","1164.7666666667","18","17","12","5","35","61.40"
"8","Justin Williams","CAR","R","82","1151.1","12","22","13","9","34","68.00"
"36","Zach Parise","MIN","L","74","1007.5166666667","15","19","7","12","34","72.34"
"81","Anze Kopitar","L.A","C","81","1319.4166666667","17","17","12","5","34","65.38"
"169","Ryan McDonagh","T.B","D","82","1401.6666666667","7","27","12","15","34","41.98"
