"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"381","Brady Skjei","CAR, NYR","D","67","1160.7833333333","7","14","2","12","21","41.18"
"391","Tomas Hertl","S.J","C","48","640.35","10","11","8","3","21","70.00"
"477","Miles Wood","N.J","L","68","818.98333333333","9","12","9","3","21","75.00"
"480","Ryan Graves","COL","D","69","1058.9666666667","8","13","6","7","21","33.33"
"482","Shea Theodore","VGK","D","71","1262.1333333333","9","12","2","10","21","39.62"
"488","J.T. Compher","COL","L","67","774.03333333333","9","12","7","5","21","60.00"
"516","Ryan Pulock","NYI","D","68","1228","5","16","7","9","21","34.43"
"558","Robby Fabbri","DET, STL","C","61","778.2","9","12","7","5","21","77.78"
"567","Ivan Barbashev","STL","C","69","792.6","7","14","11","3","21","77.78"
"576","Ryan Donato","MIN","C","62","598.66666666667","14","7","2","5","21","70.00"
"626","Mikko Rantanen","COL","R","42","606.65","9","12","8","4","21","67.74"
"687","Dominik Simon","PIT","C","64","859.26666666667","7","14","7","7","21","63.64"
"801","Miro Heiskanen","DAL","D","68","1212.8833333333","3","18","12","6","21","47.73"
"873","Ilya Mikheyev","TOR","R","39","515.78333333333","6","15","8","7","21","77.78"
"3","Patrick Marleau","PIT, S.J","C, L","66","874.21666666667","9","11","6","5","20","51.28"
"47","Alex Goligoski","ARI","D","70","1249.4666666667","2","18","4","14","20","37.04"
"102","Jamie Benn","DAL","L","69","877.61666666667","8","12","7","5","20","64.52"
"109","Pat Maroon","T.B","L","64","678.65","8","12","6","6","20","68.97"
"113","Logan Couture","S.J","C","52","672.01666666667","10","10","8","2","20","76.92"
"116","Kyle Turris","NSH","C","62","733.13333333333","7","13","10","3","20","64.52"
"130","Jake Muzzin","TOR","D","53","966.36666666667","6","14","6","8","20","37.74"
"275","Mikael Granlund","NSH","C","63","868.93333333333","9","11","4","7","20","57.14"
"319","Nick Cousins","MTL, VGK","C","65","765.1","7","13","9","4","20","64.52"
"352","Dougie Hamilton","CAR","D","47","781.46666666667","9","11","7","4","20","51.28"
"372","Yanni Gourde","T.B","C","70","803.33333333333","6","14","6","8","20","66.67"
"401","Oskar Sundqvist","STL","C","57","692.18333333333","11","9","5","4","20","74.07"
"403","Chandler Stephenson","VGK, WSH","C","65","783.1","7","13","8","5","20","47.62"
"413","Damon Severson","N.J","D","69","1191.8666666667","4","16","10","6","20","46.51"
"435","Vinnie Hinostroza","ARI","C, R","68","807.78333333333","5","15","3","12","20","66.67"
"528","Conor Sheary","BUF, PIT","L","63","734.28333333333","9","11","8","3","20","64.52"
"554","Travis Sanheim","PHI","D","69","1136.3","7","13","7","6","20","35.09"
"589","Viktor Arvidsson","NSH","L, R","57","705.76666666667","11","9","5","4","20","68.97"
"591","Danton Heinen","ANA, BOS","C, L","67","796.03333333333","7","13","5","8","20","66.67"
"603","Ondrej Kase","ANA, BOS","R","55","723.06666666667","5","15","9","6","20","64.52"
"646","Zach Werenski","CBJ","D","63","1142.85","10","10","3","7","20","40.82"
"22","Jeff Carter","L.A","C","60","767.76666666667","13","6","4","2","19","82.61"
"43","Travis Zajac","N.J","C","69","902.15","6","13","4","9","19","55.88"
"48","David Krejci","BOS","C","61","850.93333333333","5","14","5","9","19","54.29"
"90","Derick Brassard","NYI","C","66","757.18333333333","6","13","6","7","19","61.29"
"132","Carl Hagelin","WSH","L","58","643.5","6","13","8","5","19","63.33"
"170","Matt Calvert","COL","L","50","572.61666666667","8","11","6","5","19","73.08"
"253","Tyler Pitlick","PHI","C","63","670.21666666667","8","11","9","2","19","61.29"
"259","Cam Fowler","ANA","D","59","1022.9166666667","7","12","3","9","19","42.22"
"265","Jeff Skinner","BUF","C, L","59","795.35","14","5","3","2","19","67.86"
"302","Ryan Dzingel","CAR","C","64","747.26666666667","3","16","12","4","19","70.37"
"314","Sean Kuraly","BOS","C","69","763","6","13","5","8","19","70.37"
"367","Barclay Goodrow","S.J, T.B","C, R","70","866.86666666667","8","11","6","5","19","63.33"
"399","Colton Parayko","STL","D","64","1228.4","6","13","3","10","19","39.58"
"451","Nate Schmidt","VGK","D","59","1045.1666666667","4","15","5","10","19","41.30"
"485","Ryan Hartman","MIN","R","69","741.76666666667","8","11","7","4","19","52.78"
"498","William Carrier","VGK","L","71","685.7","7","12","11","1","19","63.33"
"601","Victor Olofsson","BUF","L, R","54","768.3","6","13","7","6","19","54.29"
"642","Ethan Bear","EDM","D","71","1308.6833333333","4","15","6","9","19","29.69"
"691","Adam Gaudette","VAN","C","59","618.9","7","12","6","6","19","70.37"
"810","Filip Chytil","NYR","C","60","776.71666666667","13","6","5","1","19","61.29"
"845","Rasmus Dahlin","BUF","D","59","888.9","2","17","7","10","19","52.78"
"868","Kirby Dach","CHI","C","64","783.66666666667","8","11","3","8","19","57.58"
"8","Jason Spezza","TOR","C","58","544.75","7","11","9","2","18","69.23"
"42","Alexander Radulov","DAL","R","60","800.1","7","11","6","5","18","64.29"
"210","Dmitry Orlov","WSH","D","69","1275.05","2","16","10","6","18","31.03"
"226","Ben Chiarot","MTL","D","69","1317.8833333333","7","11","6","5","18","33.33"
"337","Joel Edmundson","CAR","D","68","1033.5333333333","6","12","4","8","18","40.91"
"357","Joel Armia","MTL","R","58","755.16666666667","10","8","5","3","18","56.25"
"387","Mike Matheson","FLA","D","59","935.08333333333","7","11","4","7","18","39.13"
"409","Jimmy Vesey","BUF","L","64","780.63333333333","8","10","4","6","18","54.55"
"478","Nick Paul","OTT","L","56","731.78333333333","9","9","5","4","18","72.00"
"479","Andrew Copp","WPG","C","63","863.53333333333","9","9","6","3","18","66.67"
"484","Jason Dickinson","DAL","C","65","779.95","9","9","4","5","18","58.06"
"553","Sonny Milano","ANA, CBJ","L","55","628.53333333333","6","12","7","5","18","81.82"
"597","Anders Bjork","BOS","L","58","679.95","8","10","5","5","18","66.67"
"616","Colin White","OTT","C","61","784.6","5","13","4","9","18","62.07"
"666","John Marino","PIT","D","56","929.23333333333","4","14","9","5","18","40.91"
"734","Tyson Jost","COL","C","67","710.35","7","11","7","4","18","56.25"
"745","Samuel Girard","COL","D","70","1250.9666666667","3","15","8","7","18","33.33"
"836","Joel Farabee","PHI","L","52","623.68333333333","6","12","7","5","18","62.07"
"61","Matt Niskanen","PHI","D","68","1105.8","2","15","5","10","17","31.48"
"81","Kyle Okposo","BUF","R","52","610.71666666667","8","9","8","1","17","85.00"
"92","Phil Kessel","ARI","C, R","70","907.13333333333","5","12","9","3","17","65.38"
"107","Justin Braun","PHI","D","62","920.66666666667","2","15","7","8","17","44.74"
"175","Jared Spurgeon","MIN","D","62","1018.8","8","9","5","4","17","32.08"
"189","Kyle Clifford","L.A, TOR","L","69","745.21666666667","7","10","7","3","17","65.38"
"241","Justin Holl","TOR","D","68","1082.6","1","16","6","10","17","36.17"
"283","Marcus Sorensen","S.J","L","66","788.4","6","11","8","3","17","65.38"
"338","Matt Nieto","COL","L","70","748.6","6","11","7","4","17","54.84"
"374","Alex Galchenyuk","MIN, PIT","C","59","609.31666666667","6","11","8","3","17","68.00"
"375","Morgan Rielly","TOR","D","47","877.13333333333","2","15","7","8","17","38.64"
"430","Erik Gustafsson","CGY, CHI","D","66","1092.7166666667","4","13","6","7","17","31.48"
"462","Will Butcher","N.J","D","56","865.8","3","14","7","7","17","42.50"
"584","Lucas Wallmark","CAR, FLA","C","67","696.7","9","8","5","3","17","68.00"
"587","Devon Toews","NYI","D","68","1163.1","3","14","4","10","17","38.64"
"617","Pavel Zacha","N.J","C","65","762.85","3","14","8","6","17","53.13"
"653","Lawson Crouse","ARI","L","66","785.71666666667","10","7","6","1","17","68.00"
"693","Vladislav Gavrikov","CBJ","D","69","1154.1","5","12","4","8","17","37.78"
"704","Brandon Tanev","PIT","L","68","820.85","6","11","2","9","17","77.27"
"749","Mikhail Sergachev","T.B","D","70","1130.55","4","13","4","9","17","32.69"
"760","Michal Kempny","WSH","D","58","940.83333333333","3","14","7","7","17","30.91"
"7","Ilya Kovalchuk","L.A, MTL, WSH","L","46","623.56666666667","6","10","6","4","16","64.00"
"73","Anton Stralman","FLA","D","69","1221.3","4","12","5","7","16","28.57"
"140","Drew Doughty","L.A","D","67","1283.7833333333","1","15","4","11","16","38.10"
"162","Derek Stepan","ARI","C","70","928.16666666667","7","9","6","3","16","57.14"
"227","Erik Haula","CAR, FLA","L","48","574.7","8","8","3","5","16","59.26"
"244","Johan Larsson","BUF","C, L","62","774.33333333333","5","11","7","4","16","53.33"
"273","Mark Pysyk","FLA","D","58","681.25","8","8","5","3","16","57.14"
"276","Nino Niederreiter","CAR","R","67","837.96666666667","7","9","4","5","16","53.33"
"332","Boone Jenner","CBJ","C","70","971.28333333333","7","9","5","4","16","57.14"
"363","Vladislav Namestnikov","COL, NYR, OTT","C, L","65","735.2","8","8","4","4","16","57.14"
"369","Torey Krug","BOS","D","61","936.01666666667","4","12","6","6","16","37.21"
"394","Jacob Trouba","NYR","D","70","1227.8166666667","3","13","7","6","16","39.02"
"439","Ben Hutton","L.A","D","65","1060.3","4","12","5","7","16","37.21"
"454","Michael Raffl","PHI","L","58","620.98333333333","6","10","7","3","16","66.67"
"460","MacKenzie Weegar","FLA","D","45","778.41666666667","6","10","4","6","16","39.02"
"501","Brett Pesce","CAR","D","61","1063.9333333333","4","12","7","5","16","30.19"
"515","Alexander Wennberg","CBJ","C","57","711.33333333333","4","12","5","7","16","69.57"
"548","Nick Ritchie","ANA, BOS","L","48","583","7","9","6","3","16","66.67"
"637","Brandon Carlo","BOS","D","67","1097.3333333333","2","14","5","9","16","39.02"
"661","Denis Gurianov","DAL","R","64","669.08333333333","12","4","2","2","16","57.14"
"720","Jakob Chychrun","ARI","D","63","1117.9","7","9","4","5","16","33.33"
"756","Troy Stecher","VAN","D","69","994.83333333333","5","11","3","8","16","36.36"
"72","Ryan Reaves","VGK","R","71","692.3","8","7","4","3","15","60.00"
"80","Erik Johnson","COL","D","59","984.16666666667","2","13","6","7","15","34.88"
"119","Colton Sceviour","FLA","C","69","716.23333333333","6","9","6","3","15","55.56"
"167","TJ Brodie","CGY","D","64","1094.5833333333","3","12","3","9","15","30.61"
"169","Derek Grant","ANA, PHI","C","56","572.93333333333","7","8","6","2","15","83.33"
"172","Mark Borowiecki","OTT","D","53","799.9","5","10","0","10","15","51.72"
"174","Cam Atkinson","CBJ","R","44","571.26666666667","6","9","5","4","15","78.95"
"326","Josh Leivo","VAN","L","36","451.93333333333","7","8","4","4","15","71.43"
