"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"286","Nathan MacKinnon","COL","C","82","1386.3833333333","36","43","25","18","79","79.00"
"381","Connor McDavid","EDM","C","76","1233.25","19","53","32","21","72","80.00"
"169","Nikita Kucherov","T.B","R","81","1307.5833333333","21","46","29","17","67","82.72"
"457","Auston Matthews","TOR","C","81","1241.1833333333","38","23","17","6","61","75.31"
"429","Artemi Panarin","NYR","L","82","1259.5833333333","32","28","14","14","60","83.33"
"334","David Pastrnak","BOS","R","82","1204.3333333333","27","31","23","8","58","80.56"
"12","Sidney Crosby","PIT","C","82","1244.7","23","34","24","10","57","74.03"
"318","Leon Draisaitl","EDM","C","81","1256.7","15","40","23","17","55","72.37"
"389","Mikko Rantanen","COL","R","80","1368.15","24","30","16","14","54","62.07"
"131","Zach Hyman","EDM","L","80","1233.3333333333","36","16","6","10","52","57.78"
"346","Brayden Point","T.B","C","81","1222.1166666667","28","23","12","11","51","72.86"
"494","Jesper Bratt","N.J","L","82","1124.5833333333","16","34","25","9","50","71.43"
"180","J.T. Miller","VAN","C","81","1085.2666666667","20","28","17","11","48","75.00"
"512","Brandon Hagel","T.B","L","82","1217.1833333333","16","32","23","9","48","73.85"
"211","Filip Forsberg","NSH","L","82","1154.75","27","20","12","8","47","73.44"
"322","Nikolaj Ehlers","WPG","L","82","1073.7333333333","20","27","17","10","47","75.81"
"438","Kirill Kaprizov","MIN","L","75","1204.0333333333","21","26","18","8","47","65.28"
"621","Brady Tkachuk","OTT","L","81","1182.4333333333","23","24","20","4","47","73.44"
"554","Elias Pettersson","VAN","C","82","1089.9","14","32","23","9","46","68.66"
"321","William Nylander","TOR","R","82","1166.7","22","23","16","7","45","78.95"
"418","Mitch Marner","TOR","R","69","1006.25","16","29","19","10","45","80.36"
"524","Trevor Moore","L.A","L","82","1116.3666666667","25","20","11","9","45","76.27"
"559","Robert Thomas","STL","C","82","1193.5333333333","14","31","19","12","45","75.00"
"851","Wyatt Johnston","DAL","C","82","1072.7166666667","22","23","18","5","45","86.54"
"120","Brock Nelson","NYI","C","82","1140.9666666667","22","22","15","7","44","80.00"
"296","Max Domi","TOR","C","80","968.01666666667","8","36","23","13","44","67.69"
"488","Jordan Kyrou","STL","C","82","1166.1833333333","22","22","16","6","44","78.57"
"83","Nazem Kadri","CGY","C","82","1159.3666666667","12","31","20","11","43","71.67"
