"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"358","Carter Rowney","DET","C","26","265.3","4","1","0","1","5","45.45"
"430","Joel Hanley","DAL","D","44","489.75","2","3","3","0","5","38.46"
"450","Brendan Perlini","EDM","L","23","187.68333333333","4","1","1","0","5","83.33"
"475","Mark Friedman","PIT","D","26","314.98333333333","1","4","1","3","5","38.46"
"477","William Lagesson","EDM, MTL","D","33","379.05","0","5","0","5","5","29.41"
"557","Kyle Capobianco","ARI","D","45","661.9","0","5","3","2","5","18.52"
"672","Brett Murray","BUF","L","19","234.3","2","3","2","1","5","62.50"
"700","Dylan Gambrell","OTT","C","63","663.75","2","3","2","1","5","29.41"
"711","Jeffrey Viel","S.J","L","34","294.6","3","2","1","1","5","83.33"
"712","Alex Barré-Boulet","SEA, T.B","C","16","145.81666666667","3","2","2","0","5","71.43"
"719","Vinni Lettieri","ANA","C","31","332.98333333333","3","2","2","0","5","62.50"
"721","Nolan Patrick","VGK","C","25","242.3","2","3","2","1","5","62.50"
"764","Dylan Samberg","WPG","D","15","210.1","0","5","1","4","5","45.45"
"776","Erik Brannstrom","OTT","D","53","846.78333333333","0","5","3","2","5","22.73"
"801","Morgan Barron","NYR, WPG","C","27","255.51666666667","2","3","1","2","5","83.33"
"869","Connor Dewar","MIN","C","35","314.38333333333","2","3","3","0","5","50.00"
"884","Simon Benoit","ANA","D","53","702.25","1","4","1","3","5","20.83"
"893","Joe Snively","WSH","C","12","133.25","3","2","1","1","5","62.50"
"894","Corey Schueneman","MTL","D","24","351.18333333333","2","3","2","1","5","50.00"
"898","Brett Leason","WSH","R","36","320.7","3","2","1","1","5","55.56"
"953","Drew O'Connor","PIT","L","22","202.41666666667","3","2","1","1","5","62.50"
"995","Matty Beniers","SEA","C","10","131.26666666667","1","4","3","1","5","83.33"
"26","Andrej Sekera","DAL","D","32","406.83333333333","1","3","1","2","4","33.33"
"74","Riley Nash","ARI, T.B, WPG","C","49","451.9","0","4","3","1","4","44.44"
"76","Kyle Turris","EDM","C","23","185.3","1","3","0","3","4","100.00"
"79","Colton Sceviour","EDM","C","35","272.81666666667","2","2","1","1","4","44.44"
"82","Robert Bortuzzo","STL","D","73","834.78333333333","1","3","0","3","4","17.39"
"113","Michael Stone","CGY","D","11","167.68333333333","1","3","0","3","4","57.14"
"132","Kyle Clifford","STL, TOR","L","25","213.15","1","3","1","2","4","50.00"
"174","Matt Irwin","WSH","D","17","203.45","1","3","0","3","4","33.33"
"182","Greg McKegg","NYR","C","43","405.38333333333","2","2","1","1","4","57.14"
"187","Tyler Pitlick","CGY, MTL","C","39","398.31666666667","1","3","1","2","4","44.44"
"253","Brett Ritchie","CGY","R","41","391.6","3","1","1","0","4","30.77"
"308","Derrick Pouliot","SEA, VGK","D","11","168.21666666667","0","4","3","1","4","40.00"
"310","Slater Koekkoek","EDM","D","19","204.18333333333","0","4","2","2","4","33.33"
"363","Kyle Burroughs","VAN","D","42","512.26666666667","1","3","1","2","4","30.77"
"375","John Hayden","BUF","C","55","554.91666666667","2","2","0","2","4","40.00"
"445","Haydn Fleury","SEA","D","36","530.88333333333","2","2","1","1","4","22.22"
"495","Sammy Blais","NYR","L","14","169.66666666667","0","4","3","1","4","50.00"
"582","Colton White","N.J","D","27","347.83333333333","0","4","1","3","4","23.53"
"599","Sami Niku","MTL","D","13","164.78333333333","0","4","4","0","4","50.00"
"605","Philippe Myers","NSH","D","27","362.35","1","3","2","1","4","30.77"
"680","Drake Caggiula","BUF","C","18","225.81666666667","2","2","2","0","4","50.00"
"692","Axel Jonsson-Fjallby","WSH","L","23","238.98333333333","2","2","2","0","4","57.14"
"747","Gabriel Vilardi","L.A","C","25","288.85","3","1","0","1","4","50.00"
"797","Marian Studenic","DAL, N.J","L, R","33","342.65","2","2","0","2","4","44.44"
"808","Mark Kastelic","OTT","C","16","142.63333333333","2","2","1","1","4","80.00"
